ISBN,abstract,address,archivePrefix,authors,booktitle,doi,eprint,highlight,issn,journal,month,note,number,organization,pages,primaryClass,publisher,school,title,volume,year,url
,,,,"Pucci, Giulia; Zanzotto, Fabio Massimo; Ranaldi, Leonardo",,,,,,Information,,,6,,493,,MDPI,,"Animate, or Inanimate, That Is the Question for Large Language Models",16,2025,
,,,,"Miranda, Michele; Ruzzetti, Elena Sofia; Santilli, Andrea; Zanzotto, Fabio Massimo; Brati{\`e}res, S{\'e}bastien; Rodol{\`a}, Emanuele",,,,,2835-8856,Transactions on Machine Learning Research,,,,,,,,,Preserving Privacy in Large Language Models: A Survey on Current Threats and Solutions,,2025,https://openreview.net/forum?id=Ss9MTTN7OL
,,,,"Venditti, Davide; Ruzzetti, Elena Sofia; Xompero, Giancarlo A; Giannone, Cristina; Favalli, Andrea; Romagnoli, Raniero; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2406.18221,,,,,,,,,Enhancing Data Privacy in Large Language Models through Private Association Editing,,2024,
,,,,"Scarpato, Noemi; Riondino, Silvia; Nourbakhsh, Aria; Roselli, Mario; Ferroni, Patrizia; Guadagni, Fiorella; Zanzotto, Fabio Massimo",,,,,,Expert Systems with Applications,,,,,124859,,Pergamon,,Drug recommendation ranking for personalized medicine using outcomes of retrospective cancer patients,256,2024,
,,,,"Scarpato, Noemi; Nourbakhsh, Aria; Ferroni, Patrizia; Riondino, Silvia; Roselli, Mario; Fallucchi, Francesca; Barbanti, Piero; Guadagni, Fiorella; Zanzotto, Fabio Massimo",,,,,,Cognitive Computation,,,4,,1436--1446,,Springer US New York,,Evaluating explainable machine learning models for clinicians,16,2024,
,,,,"Ruzzetti, Elena Sofia; Venditti, Davide; Zanzotto, Fabio Massimo; Fallucchi, Francesca",,,,,,IEEE Access,,,,,158207--158214,,IEEE,,Using distributional models for studying the influence of school textbooks in children bias,12,2024,
,,,,"Ruzzetti, Elena Sofia; Ranaldi, Federico; Onorati, Dario; Venditti, Davide; Ranaldi, Leonardo; Caselli, Tommaso; Zanzotto, Fabio Massimo","CLiC-it 2024: Tenth Italian Conference on Computational Linguistics,",,,,,,,,,,,,,,Assessing the Asymmetric Behaviour of Italian Large Language Models across Different Syntactic Structures,,2024,
,,,,"Ranaldi, Leonardo; Zanzotto, Fabio Massimo",*SEM,,,,,,,,,,,,,,"Hans, are you clever? clever hans effect analysis of neural systems",,2024,
,"Cheap-to-Build Very Large-Language Models (CtB-LLMs) with affordable training are emerging as the next big revolution in natural language processing and understanding. These CtB-LLMs are democratizing access to trainable Very Large-Language Models (VLLMs) and, thus, may represent the building blocks of many NLP systems solving downstream tasks. Hence, a little or a large bias in CtB-LLMs may cause huge harm. In this paper, we performed a large investigation of the bias of three families of CtB-LLMs, and we showed that debiasing techniques are effective and usable. Indeed, according to current tests, the LLaMA and the OPT families have an important bias in gender, race, religion, and profession. In contrast to the analysis for other LMMs, we discovered that bias depends not on the number of parameters but on the perplexity. Finally, the debiasing of OPT using LORA reduces bias up to 4.12 points in the normalized stereotype score.","Mexico City, Mexico",,"Ranaldi, Leonardo; Ruzzetti, Elena Sofia; Venditti, Davide; Onorati, Dario; Zanzotto, Fabio Massimo",Proceedings of the 13th Joint Conference on Lexical and Computational Semantics (*SEM 2024),10.18653/v1/2024.starsem-1.30,,,,,June,,,,372--384,,Association for Computational Linguistics,,A Trip Towards Fairness: Bias and De-Biasing in Large Language Models,,2024,https://aclanthology.org/2024.starsem-1.30/
,,,,"Ranaldi, Leonardo; Ruzzetti, Elena Sofia; Venditti, Davide; Onorati, Dario; Zanzotto, Fabio Massimo",*SEM,,,,,,,,,,,,,,A trip towards fairness: Bias and de-biasing in large language models,,2024,
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2408.06332,,,,,,,,,"Animate, or inanimate, that is the question for large language models",,2024,
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Zanzotto, Fabio Massimo",Proceedings of the 10th Italian Conference on Computational Linguistics (CLiC-it 2024),,,,,,,,,,796--804,,,,How far does the sequence of compositions impact Multilingual Pre-Training?,,2024,
,"Reasoning methods, best exemplified by the well-known Chain-of-Thought (CoT), empower the reasoning abilities of Large Language Models (LLMs) by eliciting them to solve complex tasks in a step-by-step manner. Although they are achieving significant success, the ability to deliver multi-step reasoning remains limited to English because of the imbalance in the distribution of pre-training data, which makes other languages a barrier. In this paper, we propose Cross-lingual Tree-of-Thoughts (Cross-ToT), a method for aligning Cross-lingual CoT reasoning across languages. The proposed method, through a self-consistent cross-lingual prompting mechanism inspired by the Tree-of-Thoughts approach, provides multi-step reasoning paths in different languages that, during the steps, lead to the final solution. Experimental evaluations show that our method significantly outperforms existing prompting methods by reducing the number of interactions and achieving state-of-the-art performance.","Mexico City, Mexico",,"Ranaldi, Leonardo; Pucci, Giulia; Ranaldi, Federico; Ruzzetti, Elena Sofia; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: NAACL 2024,10.18653/v1/2024.findings-naacl.78,,,,,June,,,,1229--1241,,Association for Computational Linguistics,,A Tree-of-Thoughts to Broaden Multi-step Reasoning across Languages,,2024,https://aclanthology.org/2024.findings-naacl.78/
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Ranaldi, Federico; Ruzzetti, Elena Sofia; Zanzotto, Fabio Massimo",Proceedings of the 10th Italian Conference on Computational Linguistics (CLiC-it 2024),,,,,,,,,,781--795,,,,The limits of Italian in Reasoning Tasks,,2024,
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Ranaldi, Federico; Ruzzetti, Elena Sofia; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: NAACL 2024,,,,,,,,,,1229--1241,,,,A tree-of-thoughts to broaden multi-step reasoning across languages,,2024,
,,,,"Ranaldi, Federico; Ruzzetti, Elena Sofia; Onorati, Dario; Zanzotto, Fabio Massimo; Ranaldi, Leonardo",Proceedings of the 10th Italian Conference on Computational Linguistics (CLiC-it 2024),,,,,,,,,,1176--1183,,,,Termite Italian Text-to-SQL: A CALAMITA Challenge,,2024,
,,,,"Ranaldi, Federico; Ruzzetti, Elena Sofia; Onorati, Dario; Ranaldi, Leonardo; Giannone, Cristina; Favalli, Andrea; Romagnoli, Raniero; Zanzotto, Fabio Massimo",,,,,,Findings of the Association for Computational Linguistics: ACL 2024,,,,,13909--13920,,,,Investigating the Impact of Data Contamination of Large Language Models in Text-to-SQL translation,,2024,https://aclanthology.org/2024.findings-acl.827/
,,,,"Ranaldi, Federico; Ruzzetti, Elena Sofia; Onorati, Dario; Ranaldi, Leonardo; Giannone, Cristina; Favalli, Andrea; Romagnoli, Raniero; Zanzotto, Fabio Massimo",ACL Findings,,,,,,,,,,,,,,Investigating the Impact of Data Contamination of Large Language Models in Text-to-SQL Translation,,2024,
,,,,"Pucci$^1$, Giulia; Ranaldi, Leonardo; Zanzotto$^1$, Fabio Massimo","Proceedings of the 9th Italian Conference on Computational Linguistics CLiC-it 2023: Venice, Italy, November 30-December 2, 2023",,,,,,,,,Accademia University Press,352,,,,Are All Languages Equal? Curriculum Learning over Different Languages,,2024,
,,,,"Onorati, Dario; Venditti, Davide; Ruzzetti, Elena Sofia; Ranaldi, Federico; Ranaldi, Leonardo; Zanzotto, Fabio Massimo",Proceedings of the 10th Italian Conference on Computational Linguistics (CLiC-it 2024),,,,,,,,,,679--706,,,,Measuring bias in Instruction-Following models with ItaP-AT for the Italian Language,,2024,
,,,,"Miranda, Michele; Ruzzetti, Elena Sofia; Santilli, Andrea; Zanzotto, Fabio Massimo; Brati{\`e}res, S{\'e}bastien; Rodol{\`a}, Emanuele",,,,,,arXiv preprint arXiv:2408.05212,,,,,,,,,Preserving privacy in large language models: A survey on current threats and solutions,,2024,
,,,,"Mastromattei, Michele; Zanzotto, Fabio Massimo",,,,,,ACL Findings,,,,,,,,,Less is KEN: a Universal and Simple Non-Parametric Pruning Algorithm for Large Language Models,,2024,
,,,,"Mastromattei, Michele; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2406.02338,,,,,,,,,Linguistic Fingerprint in Transformer Models: How Language Variation Influences Parameter Selection in Irony Detection,,2024,
,,,,"Mastromattei, Michele; Pa{\l}kowski, Aleksander; Nourbakhsh, Aria; Alfaro, Javier Antonio; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Artificial intelligence perceives marginal gains from MHC haplotype data: analysis and datasets that challenge models,,2024,
,,,,"Batini, Carlo; Santucci, Gaetano; Palmonari, Matteo; Bellandi, Valerio; Fersini, Elisabetta; Pernici, Barbara; Zanzotto, Fabio; Vecchi, Giancarlo; Ronchi, Stefano; others",Proceedings of the Ital-IA Intelligenza Artificiale-Thematic Workshops co-located with the 4th CINI National Lab AIIS Conference on Artificial Intelligence (Ital-IA 2024),,,,,,,,,CEUR-WS,396--401,,,,Towards a Semantic Document Management System for Public Administration,3762,2024,
,,,,"Zanzotto, Fm; Bizzarri, Emanuela; Pasquazi, Daniele; others",,,,,,,,,,,,,,,Do not ask what Instruction-following Large Language Models can do for teaching,,2023,
,,,,"Zanzotto, Fabio Massimo; Pradhan, Sameer",Proceedings of the 17th Conference of the European Chapter of the Association for Computational Linguistics: Tutorial Abstracts,,,,,,,,,,,,,,Proceedings of the 17th Conference of the European Chapter of the Association for Computational Linguistics: Tutorial Abstracts,,2023,
,"The impressive achievements of transformers force NLP researchers to delve into how these models represent the underlying structure of natural language. In this paper, we propose a novel standpoint to investigate the above issue: using typological similarities among languages to observe how their respective monolingual models encode structural information. We aim to layer-wise compare transformers for typologically similar languages to observe whether these similarities emerge for particular layers. For this investigation, we propose to use Centered Kernel Alignment to measure similarity among weight matrices. We found that syntactic typological similarity is consistent with the similarity between the weights in the middle layers, which are the pretrained BERT layers to which syntax encoding is generally attributed. Moreover, we observe that a domain adaptation on semantically equivalent texts enhances this similarity among weight matrices.",Singapore,,"Ruzzetti, Elena Sofia; Ranaldi, Federico; Logozzo, Felicia; Mastromattei, Michele; Ranaldi, Leonardo; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: EMNLP 2023,10.18653/v1/2023.findings-emnlp.963,,,,,December,,,,14447--14461,,Association for Computational Linguistics,,Exploring Linguistic Properties of Monolingual {BERT}s with Typological Classification among Languages,,2023,https://aclanthology.org/2023.findings-emnlp.963/
,,,,"Ruzzetti, Elena Sofia; Onorati, Dario; Ranaldi, Leonardo; Venditti, Davide; Zanzotto, Fabio Massimo; others",CEUR WORKSHOP PROCEEDINGS,,,,,,,,,CEUR-WS,,,,,Investigating gender bias in large language models for the italian language,3596,2023,
,,,,"Ruzzetti, Elena Sofia; Onorati, Dario; Ranaldi, Leonardo; Venditti, Davide; Zanzotto, Fabio Massimo",CLiC-it 2023: 9th Italian Conference on Computational Linguistics,,,,,,,,,CEUR-WS,,,,,Investigating Gender Bias in Large Language Models for the Italian Language,3596,2023,
,"Large Language Models (LLMs) are impressive machines with the ability to memorize, possibly generalized learning examples. We present here a small, focused contribution to the analysis of the interplay between memorization and performance of BERT in downstream tasks. We propose PreCog, a measure for evaluating memorization from pre-training, and we analyze its correlation with the BERT{'}s performance. Our experiments show that highly memorized examples are better classified, suggesting memorization is an essential key to success for BERT.","Varna, Bulgaria",,"Ranaldi, Leonardo; Ruzzetti, Elena Sofia; Zanzotto, Fabio Massimo",Proceedings of the 14th International Conference on Recent Advances in Natural Language Processing,,,,,,September,,,,961--967,,"INCOMA Ltd., Shoumen, Bulgaria",,PreCog: Exploring the Relation between Memorization and Performance in Pre-trained Language Models,,2023,https://aclanthology.org/2023.ranlp-1.103/
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Zanzotto, Fabio Massimo",Proceedings of the 14th International Conference on Recent Advances in Natural Language Processing,,,,,,,,,,937--948,,,,Modeling easiness for training transformers with curriculum learning,,2023,
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Ruzzetti, Elena Sofia; Zanzotto, Fabio Massimo; Freitas, Andr{\'e}",Proceedings of the 9th Italian Conference on Computational Linguistics (CLiC-it 2023),,,,,,,,,,557--561,,,,Teasing LLMs adapted to Italian,,2023,
,,,,"Ranaldi, Leonardo; Pucci, Giulia; Ranaldi, Federico; Ruzzetti, Elena Sofia; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2311.08097,,,,,,,,,Empowering multi-step reasoning across languages via tree-of-thoughts,,2023,
,"Pre-trained Transformers are challenging human performances in many Natural Language Processing tasks. The massive datasets used for pre-training seem to be the key to their success on existing tasks. In this paper, we explore how a range of pre-trained natural language understanding models performs on definitely unseen sentences provided by classification tasks over a DarkNet corpus. Surprisingly, results show that syntactic and lexical neural networks perform on par with pre-trained Transformers even after fine-tuning. Only after what we call extreme domain adaptation, that is, retraining with the masked language model task on all the novel corpus, pre-trained Transformers reach their standard high results. This suggests that huge pre-training corpora may give Transformers unexpected help since they are exposed to many of the possible sentences.","Varna, Bulgaria",,"Ranaldi, Leonardo; Nourbakhsh, Aria; Ruzzetti, Elena Sofia; Patrizi, Arianna; Onorati, Dario; Mastromattei, Michele; Fallucchi, Francesca; Zanzotto, Fabio Massimo",Proceedings of the 14th International Conference on Recent Advances in Natural Language Processing,,,,,,September,,,,949--960,,"INCOMA Ltd., Shoumen, Bulgaria",,The Dark Side of the Language: Pre-trained Transformers in the {D}ark{N}et,,2023,https://aclanthology.org/2023.ranlp-1.102/
,,,,"Ranaldi, Federico; Ruzzetti, Elena Sofia; Ranaldi, Leonardo; Venditti, Davide; Giannone, Cristina; Favalli, Andrea; Romagnoli, Raniero; Zanzotto, Fabio Massimo",Italian Conference on Computational Linguistics 2023,,,,,,,,,,,,,,Prompting LLMs in Italian language for Text-to-SQL translation,,2023,
,,,,"Ranaldi, Federico; Ruzzetti, Elena Sofia; Logozzo, Felicia; Mastromattei, Michele; Ranaldi, Leonardo; Zanzotto, Fabio Massimo",EMNLP Findings 2023,,,,,,,,,,,,,,Exploring Linguistic Properties of Monolingual BERTs with Typological Classification among Languages,,2023,
,,,,"Onorati, Dario; Sofia, Ruzzetti Elena; Davide, Venditti; Leonardo, Ranaldi; Massimo, Zanzotto Fabio; others",Findings of the Association for Computational Linguistics: EMNLP 2023,,,,,,,,,,8006--8034,,Association for Computational Linguistics (ACL),,Measuring bias in instruction-following models with P-AT,,2023,
,"Instruction-Following Language Models (IFLMs) are promising and versatile tools for solving many downstream, information-seeking tasks. Given their success, there is an urgent need to have a shared resource to determine whether existing and new IFLMs are prone to produce biased language interactions. In this paper, we propose Prompt Association Test (P-AT): a new resource for testing the presence of social biases in IFLMs. P-AT stems from WEAT (Caliskan et al., 2017) and generalizes the notion of measuring social biases to IFLMs. Basically, we cast WEAT word tests in promptized classification tasks, and we associate a metric - the bias score. Our resource consists of 2310 prompts. We then experimented with several families of IFLMs discovering gender and race biases in all the analyzed models. We expect P-AT to be an important tool for quantifying bias across different dimensions and, therefore, for encouraging the creation of fairer IFLMs before their distortions have consequences in the real world.",Singapore,,"Onorati, Dario; Ruzzetti, Elena Sofia; Venditti, Davide; Ranaldi, Leonardo; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: EMNLP 2023,10.18653/v1/2023.findings-emnlp.539,,,,,December,,,,8006--8034,,Association for Computational Linguistics,,Measuring bias in Instruction-Following models with {P}-{AT},,2023,https://aclanthology.org/2023.findings-emnlp.539/
,,,,"Onorati, Dario; Ranaldi, Leonardo; Nourbakhsh, Aria; Patrizi, Arianna; Ruzzetti, Elena Sofia; Mastromattei, Michele; Fallucchi, Francesca; Zanzotto, Fabio Massimo",2023 IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),,,,,,,,,IEEE,111--118,,,,The Dark Side of the Language: Syntax-Based Neural Networks Rivaling Transformers in Definitely Unseen Sentences,,2023,
,,,,"Kallor, Ashwin Adrian; Waleron, Micha{\l}; Bedran, Georges; Eug{\'e}nio, Patr{\'\i}cia; Pesquita, Catia; Faria, Daniel; Zanzotto, Fabio Massimo; Battail, Christophe; Rajan, Ajitha; Alfaro, Javier",,,,,,Cancer Research,,,7\_Supplement,,6577--6577,,The American Association for Cancer Research,,CARMEN: A pan-HLA and pan-cancer proteogenomic database on antigen presentation to support cancer immunotherapy,83,2023,
,,,,"Jeanneret, Florian; Bazelle, Pauline; Schoch, Sarah; Pillet, Catherine; Um, In Hwa; Bouzit, Assilah; Evrard, Bertrand; Seffar, Evan; Chalmel, Fr{\'e}d{\'e}ric; Alfaro, Javier A; others",,,,,,bioRxiv,,,,,2023--07,,Cold Spring Harbor Laboratory,,Microenvironment of metastasis reveals key predictors of PD-1 blockade response in renal cell carcinoma,,2023,
,,,,"Coquelet, Elodine; Silva, Marta; Balbi, Laura; Riba, Jofre; Alfaro, Javier Antonio; Zanzotto, Fabio Massimo; Pesquita, Catia; Kumar, Rohit; Battail, Christophe",ECCB/ISMB 2023,,,,,,,,,Zenodo,,,,,Data Lakehouse to support the development of AI models for predicting patient response to anti-tumor therapies,,2023,
,,,,"Bedran, Georges; Gasser, Hans-Christof; Weke, Kenneth; Wang, Tongjie; Bedran, Dominika; Laird, Alexander; Battail, Christophe; Zanzotto, Fabio Massimo; Pesquita, Catia; Axelson, H{\aa}kan; others",,,,,,Cancer immunology research,,,6,,747--762,,American Association for Cancer Research,,The immunopeptidome from a genomic perspective: establishing the noncanonical landscape of MHC class I--associated peptides,11,2023,
,,,,"Achena, Flavia; Preti, David; Venditti, Davide; Ranaldi, Leonardo; Giannone, Cristina; Zanzotto, Fabio Massimo; Favalli, Andrea; Romagnoli, Raniero; others",,,,,,,,,,,,,,,Legal Summarization: to each Court its own model,,2023,
,,,,"Yakimenko, Yurii; Stirenko, Sergii; Koroliouk, Dimitri; Gordienko, Yuri; Zanzotto, Fabio Massimo",Soft Computing for Security Applications: Proceedings of ICSCS 2022,,,,,,,,,,597--611,,Springer Nature Singapore Singapore,,Implementation of personalized medicine by artificial intelligence platform,,2022,
,"Word embeddings are powerful dictionaries, which may easily capture language variations. However, these dictionaries fail to give sense to rare words, which are surprisingly often covered by traditional dictionaries. In this paper, we propose to use definitions retrieved in traditional dictionaries to produce word embeddings for rare words. For this purpose, we introduce two methods: Definition Neural Network (DefiNNet) and Define BERT (DefBERT). In our experiments, DefiNNet and DefBERT significantly outperform state-of-the-art as well as baseline methods devised for producing embeddings of unknown words. In fact, DefiNNet significantly outperforms FastText, which implements a method for the same task-based on n-grams, and DefBERT significantly outperforms the BERT method for OOV words. Then, definitions in traditional dictionaries are useful to build word embeddings for rare words.","Dublin, Ireland",,"Ruzzetti, Elena Sofia; Ranaldi, Leonardo; Mastromattei, Michele; Fallucchi, Francesca; Scarpato, Noemi; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: ACL 2022,10.18653/v1/2022.findings-acl.208,,,,,May,,,,2651--2662,,Association for Computational Linguistics,,Lacking the Embedding of a Word? Look it up into a Traditional Dictionary,,2022,https://aclanthology.org/2022.findings-acl.208/
,,,,"Ranaldi, Leonardo; Ranaldi, Federico; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,Information,,,9,,435,,MDPI,,Shedding light on the dark web: Authorship attribution in radical forums,13,2022,
,,,,"Ranaldi, Leonardo; Petito, Michele; Gerardi, Marco; Fallucchid, Francesca; Zanzotto, Fabio Massimo",ITASEC,,,,,,,,,,181--194,,,,Machine Learning Techniques for Italian Phishing Detection.,,2022,
,,,,"Ranaldi, Leonardo; Nourbakhsh, Aria; Patrizi, Arianna; Ruzzetti, Elena Sofia; Onorati, Dario; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2201.05613,,,,,,,,,The dark side of the language: Pre-trained transformers in the darknet,,2022,
